Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Carbohydrate,Data.Cholesterol,Data.Fiber,Data.Protein,Data.Water,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Vitamins.Vitamin B12,Result
Yogurt,"Yogurt, Greek, whole milk, fruit",11434000,0,12.29,10,0,7.33,76.81,10,109,113,0.5,No
Yogurt,"Yogurt, Greek, low fat milk, fruit",11434010,0,12.29,12,1,8.17,76.41,10,109,129,0.5,No
Yogurt,"Yogurt, Greek, nonfat milk, fruit",11434020,0,12.2,4,0.6,8.06,79,10,113,133,0.45,Yes
Yogurt,"Yogurt, NS as to type of milk, flavors other than fruit",11434090,0,9.82,6,0,5.09,82.51,16,140,227,0.54,Yes
Yogurt,"Yogurt, whole milk, flavors other than fruit",11434100,0,9.41,12,0,3.3,83.5,11,90,147,0.35,No
Yogurt,"Yogurt, low fat milk, flavors other than fruit",11434200,0,9.82,6,0,5.09,82.51,16,140,227,0.54,No
Yogurt,"Yogurt, nonfat milk, flavors other than fruit",11434300,0,10.44,2,0,5.56,82.66,18,152,247,0.59,Yes
Yogurt,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",11435000,0,9.54,5,0,8.64,78.76,10,119,123,0.64,Yes
Yogurt,"Yogurt, Greek, whole milk, flavors other than fruit",11435010,0,9.35,10,0,8.47,77.19,10,117,121,0.63,No
Yogurt,"Yogurt, Greek, low fat milk, flavors other than fruit",11435020,0,9.54,5,0,8.64,78.76,10,119,123,0.64,Yes
Yogurt,"Yogurt, Greek, nonfat milk, flavors other than fruit",11435030,0,10.37,3,0.5,8.64,80.26,10,119,123,0.64,Yes
Yogurt,"Yogurt, Greek, with oats",11435100,0,22.38,4,1.9,8.9,63.61,27,165,184,0.53,Yes
Yogurt,"Yogurt, liquid",11436000,0,11.81,4,0.1,3.71,82.57,12,103,171,0.39,Yes
Chipotle dip,"Chipotle dip, yogurt based",11440010,1,3.33,16,0,7.93,70.61,9,111,119,0.43,No
Dill dip,"Dill dip, yogurt based",11440020,0,3.76,16,0.3,8.16,69.81,13,115,141,0.43,No
Onion dip,"Onion dip, yogurt based",11440030,0,4.07,14,0.2,6.82,74.42,10,105,126,0.42,No
Ranch dip,"Ranch dip, yogurt based",11440040,0,4.13,17,0.3,8.48,69,14,123,154,0.46,Yes
Spinach dip,"Spinach dip, yogurt based",11440050,0,3.6,14,0.3,7.02,74.55,15,106,136,0.42,No
Tzatziki dip,Tzatziki dip,11440060,4,3.95,7,0.2,5.35,83.08,11,86,139,0.42,No
Vegetable dip,"Vegetable dip, yogurt based",11440070,0,3.76,16,0.3,8.16,69.81,13,115,141,0.43,Yes
Yogurt parfait,"Yogurt parfait, low fat, with fruit",11446000,0,15.86,3,1.1,3.36,78.97,17,93,189,0.88,Yes
Frozen yogurt,"Frozen yogurt, NFS",11459990,0,21.6,13,0,3,71.2,10,89,156,0.07,No
Frozen yogurt,"Frozen yogurt, vanilla",11460000,0,21.6,13,0,3,71.2,10,89,156,0.07,No
Frozen yogurt,"Frozen yogurt, chocolate",11460100,0,21.6,13,2.3,3,71.2,25,89,234,0.07,Yes
Frozen yogurt,"Frozen yogurt, soft serve, vanilla",11460500,0,24.2,2,0,4,65.3,14,129,211,0.29,Yes
Frozen yogurt,"Frozen yogurt, soft serve, chocolate",11460510,0,24.87,2,0.7,4.31,64.05,24,141,237,0.28,No
Frozen yogurt sandwich,Frozen yogurt sandwich,11461200,0,34.38,10,0.8,3.9,54.52,21,100,170,0.08,Yes
Frozen yogurt bar,"Frozen yogurt bar, vanilla",11461210,0,21.6,13,0,3,71.2,10,89,156,0.07,Yes
Frozen yogurt bar,"Frozen yogurt bar, chocolate",11461220,0,21.6,13,2.3,3,71.2,25,89,234,0.07,Yes
Frozen yogurt cone,"Frozen yogurt cone, chocolate",11461250,0,23.9,12,2.3,3.2,68.56,25,89,229,0.07,Yes
Frozen yogurt cone,"Frozen yogurt cone, vanilla",11461260,0,23.9,12,0.1,3.2,68.56,11,89,154,0.07,No
Frozen yogurt cone,"Frozen yogurt cone, vanilla, waffle cone",11461300,0,25.28,12,0.1,3.29,67.19,11,90,155,0.07,No
Frozen yogurt cone,"Frozen yogurt cone, chocolate, waffle cone",11461320,0,25.28,12,2.3,3.29,67.19,25,90,229,0.07,No
Yogurt,"Yogurt, whole milk, baby food",11480010,0,4.66,13,0,3.47,87.89,12,95,155,0.37,Yes
Yogurt,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",11480020,0,13.22,14,0.3,3.4,79.16,15,95,149,0.32,No
Yogurt,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",11480030,0,13,10,0.6,3.05,80.21,15,86,143,0.29,No
Yogurt,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",11480040,0,13.22,14,0.3,3.4,79.16,15,95,149,0.32,Yes
Chocolate milk,"Chocolate milk, NFS",11511000,0,13.46,2,0,3.39,82.34,13,101,182,0.32,Yes
Chocolate milk,"Chocolate milk, ready to drink, whole",11511100,0,10.34,12,0.8,3.17,82.3,13,101,167,0.33,No
Chocolate milk,"Chocolate milk, ready to drink, reduced fat",11511200,0,12.13,8,0.7,2.99,82.17,14,102,169,0.33,No
Chocolate milk,"Chocolate milk, ready to drink, fat free",11511300,0,13.46,2,0,3.39,82.34,13,101,182,0.32,Yes
Chocolate milk,"Chocolate milk, ready to drink, low fat",11511400,0,10.15,5,0.1,3.46,84.5,13,96,172,0.23,No
Chocolate milk,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",11511550,0,7.68,5,0,3.43,87.09,13,98,168,0.2,Yes
Chocolate milk,"Chocolate milk, ready to drink, low fat (Nesquik)",11511600,0,10.15,5,0.1,3.46,84.5,13,96,172,0.23,Yes
Chocolate milk,"Chocolate milk, ready to drink, fat free (Nesquik)",11511610,0,13.46,2,0,3.39,82.34,13,101,182,0.32,Yes
Chocolate milk,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",11511700,0,10.15,5,0.1,3.46,84.5,13,96,172,0.23,Yes
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, ready to drink",11512010,0,16.54,7,0,2.72,78.43,17,95,152,0.42,No
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",11512020,0,16.52,2,0,2.79,79.81,18,98,159,0.45,No
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",11512030,0,16.68,0,0.2,1.21,80.39,16,32,99,0.35,No
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, ready to drink, with whipped cream",11512100,0,15.89,12,0,2.73,77.44,17,93,149,0.41,Yes
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream",11512110,0,15.87,8,0,2.79,78.76,17,96,156,0.43,No
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",11512120,0,16.02,5,0.2,1.29,79.32,15,33,98,0.34,No
Chocolate milk,"Chocolate milk, made from dry mix, NS as to type of milk",11513000,0,10.13,8,0.3,3.41,83.63,15,102,164,0.53,Yes
Chocolate milk,"Chocolate milk, made from dry mix with whole milk",11513100,0,9.94,11,0.3,3.36,82.75,14,100,158,0.51,Yes
Chocolate milk,"Chocolate milk, made from dry mix with reduced fat milk",11513150,0,10.16,8,0.3,3.42,83.68,15,102,166,0.52,No
Chocolate milk,"Chocolate milk, made from dry mix with low fat milk",11513200,0,10.43,5,0.3,3.45,84.25,15,102,166,0.57,No
Chocolate milk,"Chocolate milk, made from dry mix with fat free milk",11513300,0,10.14,3,0.3,3.5,85.28,15,106,174,0.54,Yes
Chocolate milk,"Chocolate milk, made from dry mix with non-dairy milk",11513310,0,10.32,0,0.5,1.68,85.96,13,30,105,0.4,Yes
Chocolate milk,"Chocolate milk, made from reduced sugar mix, NS as to type of milk",11513350,0,7.61,8,0.4,3.59,85.52,29,120,224,0.54,No
Chocolate milk,"Chocolate milk, made from reduced sugar mix with whole milk",11513355,0,7.42,11,0.4,3.53,84.62,29,118,217,0.52,Yes
Chocolate milk,"Chocolate milk, made from reduced sugar mix with reduced fat milk",11513360,0,7.64,8,0.4,3.6,85.58,29,120,226,0.53,Yes
Chocolate milk,"Chocolate milk, made from reduced sugar mix with low fat milk",11513365,0,7.91,5,0.4,3.63,86.15,29,120,226,0.58,Yes
Chocolate milk,"Chocolate milk, made from reduced sugar mix with fat free milk",11513370,0,7.63,3,0.4,3.67,87.2,30,124,233,0.56,Yes
Chocolate milk,"Chocolate milk, made from reduced sugar mix with non-dairy milk",11513375,0,7.81,0,0.6,1.82,87.89,28,46,163,0.41,No
Chocolate milk,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",11513380,0,10.13,8,0.3,3.41,83.63,15,102,164,0.53,No
Chocolate milk,"Chocolate milk, made from dry mix with whole milk (Nesquik)",11513381,0,9.94,11,0.3,3.36,82.75,14,100,158,0.51,No
Chocolate milk,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",11513382,0,10.16,8,0.3,3.42,83.68,15,102,166,0.52,Yes
Chocolate milk,"Chocolate milk, made from dry mix with low fat milk (Nesquik)",11513383,0,10.43,5,0.3,3.45,84.25,15,102,166,0.57,No
Chocolate milk,"Chocolate milk, made from dry mix with fat free milk (Nesquik)",11513384,0,10.14,3,0.3,3.5,85.28,15,106,174,0.54,No
Chocolate milk,"Chocolate milk, made from dry mix with non-dairy milk (Nesquik)",11513385,0,10.32,0,0.5,1.68,85.96,13,30,105,0.4,Yes
Chocolate milk,"Chocolate milk, made from no sugar added dry mix, NS as to type of milk (Nesquik)",11513390,0,7.61,8,0.4,3.59,85.52,29,120,224,0.54,Yes
Chocolate milk,"Chocolate milk, made from no sugar added dry mix with whole milk (Nesquik)",11513391,0,7.42,11,0.4,3.53,84.62,29,118,217,0.52,No
Chocolate milk,"Chocolate milk, made from no sugar added dry mix with reduced fat milk (Nesquik)",11513392,0,7.64,8,0.4,3.6,85.58,29,120,226,0.53,No
Chocolate milk,"Chocolate milk, made from no sugar added dry mix with low fat milk (Nesquik)",11513393,0,7.91,5,0.4,3.63,86.15,29,120,226,0.58,Yes
Chocolate milk,"Chocolate milk, made from no sugar added dry mix with fat free milk  (Nesquik)",11513394,0,7.63,3,0.4,3.67,87.2,30,124,233,0.56,Yes
Chocolate milk,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)",11513395,0,7.81,0,0.6,1.82,87.89,28,46,163,0.41,No
Chocolate milk,"Chocolate milk, made from syrup, NS as to type of milk",11513400,0,13.18,7,0,2.89,81.43,16,97,152,0.48,Yes
Chocolate milk,"Chocolate milk, made from syrup with whole milk",11513500,0,13,10,0,2.84,80.62,16,95,146,0.47,Yes
Chocolate milk,"Chocolate milk, made from syrup with reduced fat milk",11513550,0,13.21,7,0,2.9,81.48,16,97,154,0.48,Yes
Chocolate milk,"Chocolate milk, made from syrup with low fat milk",11513600,0,13.45,4,0,2.93,82,16,97,154,0.53,Yes
Chocolate milk,"Chocolate milk, made from syrup with fat free milk",11513700,0,13.19,3,0,2.97,82.96,16,100,161,0.5,No
Chocolate milk,"Chocolate milk, made from syrup with non-dairy milk",11513750,0,13.36,0,0.2,1.29,83.58,14,30,97,0.37,No
Chocolate milk,"Chocolate milk, made from light syrup, NS as to type of milk",11513800,0,8.6,7,0,3.1,85.67,15,97,161,0.49,No
Chocolate milk,"Chocolate milk, made from light syrup with whole milk",11513801,0,8.42,10,0,3.04,84.85,15,95,155,0.47,Yes
Chocolate milk,"Chocolate milk, made from light syrup with reduced fat milk",11513802,0,8.63,7,0,3.1,85.72,15,97,163,0.48,No
Chocolate milk,"Chocolate milk, made from light syrup with low fat milk",11513803,0,8.87,4,0,3.13,86.24,15,97,163,0.53,No
Chocolate milk,"Chocolate milk, made from light syrup with fat free milk",11513804,0,8.61,3,0,3.18,87.21,15,100,170,0.51,Yes
Chocolate milk,"Chocolate milk, made from light syrup with non-dairy milk",11513805,0,8.78,0,0.2,1.48,87.84,14,29,105,0.37,Yes
Chocolate milk,"Chocolate milk, made from sugar free syrup, NS as to type of milk",11513850,0,6.04,7,0.4,3.28,87.77,20,104,186,0.49,No
Chocolate milk,"Chocolate milk, made from sugar free syrup with whole milk",11513851,0,5.87,10,0.4,3.23,86.94,20,103,180,0.47,No
Chocolate milk,"Chocolate milk, made from sugar free syrup with reduced fat milk",11513852,0,6.08,7,0.4,3.29,87.82,20,104,188,0.48,Yes
Chocolate milk,"Chocolate milk, made from sugar free syrup with low fat milk",11513853,0,6.32,4,0.4,3.32,88.34,20,104,188,0.53,Yes
Chocolate milk,"Chocolate milk, made from sugar free syrup with fat free milk",11513854,0,6.06,3,0.4,3.36,89.31,20,108,195,0.51,No
Chocolate milk,"Chocolate milk, made from sugar free syrup with non-dairy milk",11513855,0,6.22,0,0.5,1.66,89.94,18,37,130,0.37,Yes
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with dry mix and water",11514100,0,11.4,0,0.5,0.91,86.5,12,43,97,0.05,Yes
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with dry mix and whole milk",11514110,0,15.16,10,0.5,3.73,76.61,21,129,225,0.49,Yes
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with dry mix and reduced fat milk",11514120,0,15.37,7,0.5,3.79,77.47,21,131,232,0.5,Yes
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with dry mix and low fat milk",11514130,0,15.61,4,0.5,3.82,78,21,131,232,0.55,No
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with dry mix and fat free milk",11514140,0,15.35,3,0.5,3.86,78.95,22,135,239,0.52,No
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with dry mix and non-dairy milk",11514150,0,15.47,0,0.7,2.18,79.63,20,64,175,0.42,No
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with no sugar added dry mix and water",11514310,0,5.94,0,0.6,1.28,91.92,18,74,224,0.1,Yes
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk",11514320,0,10.08,11,0.6,4.26,81.29,28,165,355,0.57,No
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk",11514330,0,10.3,7,0.6,4.33,82.21,28,167,363,0.57,No
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk",11514340,0,10.56,5,0.6,4.35,82.76,28,167,363,0.63,Yes
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk",11514350,0,10.28,3,0.6,4.4,83.77,28,170,371,0.6,Yes
Hot chocolate / Cocoa,"Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk",11514360,0,10.43,0,0.8,2.61,84.47,26,95,302,0.48,No
Strawberry milk,"Strawberry milk, NFS",11519040,0,5.35,8,0,3.33,88.68,12,102,157,0.55,No
Strawberry milk,"Strawberry milk, whole",11519050,0,11.82,11,0,3.04,81.46,11,94,139,0.5,Yes
Strawberry milk,"Strawberry milk, reduced fat",11519105,0,10.71,8,0,3.15,83.64,11,97,150,0.52,No
Strawberry milk,"Strawberry milk, low fat",11519200,0,12.3,5,0,3.13,82.94,11,96,147,0.56,Yes
Strawberry milk,"Strawberry milk, fat free",11519205,0,12.03,3,0,3.18,83.95,12,99,155,0.54,Yes
Strawberry milk,"Strawberry milk, reduced sugar",11519210,0,7.08,5,0,3.31,87.91,12,101,156,0.6,Yes
Strawberry milk,"Strawberry milk, non-dairy",11519215,0,12.2,0,0.2,1.39,84.62,10,24,87,0.39,Yes
Milk,"Milk, malted",11526000,0,8.67,8,0,3.2,85.25,21,98,150,0.54,No
Eggnog,Eggnog,11531000,0,8.05,59,0,4.55,82.54,19,109,165,0.45,No
Milk shake,"Milk shake, home recipe, chocolate",11541110,0,13.55,20,0.5,3.48,75.87,18,103,187,0.45,No
Milk shake,"Milk shake, home recipe, flavors other than chocolate",11541120,0,11.41,23,0.2,3.36,78.45,13,102,167,0.49,Yes
Milk shake,"Milk shake, home recipe, chocolate, light",11541130,0,12.93,14,0.3,3.99,79.03,15,95,163,0.43,No
Milk shake,"Milk shake, home recipe, flavors other than chocolate, light",11541135,0,13.84,13,0.1,3.88,79.07,13,103,176,0.56,No
Milk shake with malt,Milk shake with malt,11541400,0,13.66,23,0.2,3.77,75.57,16,112,190,0.5,Yes
Milk shake,"Milk shake, fast food, chocolate",11542100,0,20.36,23,1.6,3.7,68.32,23,111,193,0.22,Yes
Milk shake,"Milk shake, fast food, flavors other than chocolate",11542200,0,19.59,23,0.9,3.37,69.65,13,98,166,0.22,No
Milk shake,"Milk shake, bottled, chocolate",11543000,0,20.36,23,1.6,3.7,68.32,23,111,193,0.22,No
Milk shake,"Milk shake, bottled, flavors other than chocolate",11543010,0,19.59,23,0.9,3.37,69.65,13,98,166,0.22,Yes
Licuado or Batido,Licuado or Batido,11551050,4,13.1,5,0.7,2.4,82.44,14,72,184,0.35,Yes
Fruit smoothie,"Fruit smoothie, NFS",11553100,3,11.65,4,1.2,2.4,84.22,14,68,180,0.28,No
Fruit smoothie,"Fruit smoothie, with whole fruit and dairy",11553110,3,11.66,4,1.2,2.4,84.22,14,68,180,0.28,Yes
Fruit smoothie,"Fruit smoothie, with whole fruit and dairy, added protein",11553120,0,9.71,5,1.1,7.38,80.44,23,154,174,0.46,Yes
Fruit smoothie juice drink,"Fruit smoothie juice drink, with dairy",11553130,5,15.05,1,0.9,0.86,83.61,11,11,131,0,Yes
Chocolate milk drink,Chocolate milk drink,11560000,0,10.68,0,0.6,0.64,87.63,11,24,79,0.06,Yes
Infant formula,"Infant formula, NFS",11710000,0,7.12,1,0,1.38,87.46,6,28,70,0.18,No
Infant formula,"Infant formula, NS as to form (Similac Expert Care Alimentum)",11710050,0,6.77,1,0,1.8,87.32,5,49,77,0.3,No
Infant formula,"Infant formula, ready-to-feed (Similac Expert Care Alimentum)",11710051,0,6.77,1,0,1.8,87.32,5,49,77,0.3,No
Infant formula,"Infant formula, powder, made with water, NFS (Similac Expert Care Alimentum)",11710053,0,6.77,1,0,1.8,87.32,5,49,77,0.3,Yes
Infant formula,"Infant formula, powder, made with tap water (Similac Expert Care Alimentum)",11710054,0,6.77,1,0,1.8,87.32,5,49,77,0.3,No
Infant formula,"Infant formula, powder, made with plain bottled water (Similac Expert Care Alimentum)",11710055,0,6.77,1,0,1.8,87.32,5,49,77,0.3,No
Infant formula,"Infant formula, powder, made with baby water (Similac Expert Care Alimentum)",11710056,0,6.77,1,0,1.8,87.32,5,49,77,0.3,Yes
Infant formula,"Infant formula, NS as to form (Similac Advance)",11710350,0,6.87,2,0,1.37,87.64,5,28,69,0.17,Yes
Infant formula,"Infant formula, ready-to-feed (Similac Advance)",11710351,0,6.87,2,0,1.37,87.64,5,28,69,0.17,No
Infant formula,"Infant formula, liquid concentrate, made with water, NFS (Similac Advance)",11710352,0,6.87,2,0,1.37,87.64,5,28,69,0.17,No
Infant formula,"Infant formula, powder, made with water, NFS (Similac Advance)",11710353,0,6.87,2,0,1.37,87.64,5,28,69,0.17,Yes
Infant formula,"Infant formula, liquid concentrate, made with tap water (Similac Advance)",11710354,0,6.87,2,0,1.37,87.64,5,28,69,0.17,Yes
Infant formula,"Infant formula, liquid concentrate, made with plain bottled water (Similac Advance)",11710355,0,6.87,2,0,1.37,87.71,6,28,69,0.17,No
Infant formula,"Infant formula, liquid concentrate, made with baby water (Similac Advance)",11710356,0,6.87,2,0,1.37,87.64,4,28,69,0.17,Yes
Infant formula,"Infant formula, powder, made with tap water (Similac Advance)",11710357,0,6.87,2,0,1.37,87.64,5,28,69,0.17,Yes
Infant formula,"Infant formula, powder, made with plain bottled water (Similac Advance)",11710358,0,6.87,2,0,1.37,87.71,6,28,69,0.17,Yes
Infant formula,"Infant formula, powder, made with baby water (Similac Advance)",11710359,0,6.87,2,0,1.37,87.64,4,28,69,0.17,Yes
Infant formula,"Infant formula, NS as to form (Similac Advance Organic)",11710360,0,6.87,2,0,1.37,87.64,5,28,69,0.17,No
Infant formula,"Infant formula, ready-to-feed (Similac Advance Organic)",11710361,0,6.87,2,0,1.37,87.64,5,28,69,0.17,No
Infant formula,"Infant formula, powder, made with water, NFS (Similac Advance Organic)",11710363,0,6.87,2,0,1.37,87.64,5,28,69,0.17,No
Infant formula,"Infant formula, powder, made with tap water (Similac Advance Organic)",11710367,0,6.87,2,0,1.37,87.64,5,28,69,0.17,Yes
Infant formula,"Infant formula, powder, made with plain bottled water (Similac Advance Organic)",11710368,0,6.87,2,0,1.37,87.71,6,28,69,0.17,No
